model,batch_size,r,sequence_tokens,content_tokens,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_std_ms,throughput_median_qps,throughput_p95_qps
deit_base_patch16_224,48,96,101,100,81.65346117655436,81.72012710571289,82.03129425048829,82.14933547973632,82.52138305664063,0.3512089460531576,587.3705988967364,584.3017441308469
deit_base_patch16_224,48,112,85,84,73.79052551269531,73.78819274902344,74.07182083129882,74.16653442382812,74.24523483276367,0.203410409012005,650.5105791554336,647.1921652116271
deit_base_patch16_224,48,128,69,68,67.80664563496907,67.7835807800293,68.20067596435547,68.29571800231933,68.5310440826416,0.2852299289311972,708.1360920688035,702.825907743878
deit_base_patch16_224,48,144,53,52,60.7120232518514,60.70841598510742,60.97366485595703,61.043250274658206,61.31680332183838,0.22753173470913873,790.6646750884595,786.3277231148184
deit_base_patch16_224,64,0,197,196,146.38467005411783,146.3839874267578,146.92650604248047,146.9359031677246,147.07113449096678,0.4267263581930702,437.2062896020095,435.5640699124787
deit_base_patch16_224,64,48,149,148,137.27594863891602,137.26592254638672,137.8736572265625,137.98399047851564,138.43841690063476,0.43564993381308925,466.2482778882885,463.8219243990115
deit_base_patch16_224,64,64,133,132,127.8533317565918,127.82299423217773,128.46668243408203,128.5390266418457,128.9406575012207,0.43951315912150263,500.69238625211966,497.903256870975
deit_base_patch16_224,64,80,117,116,114.49001274108886,114.50142288208008,114.8872283935547,115.03918838500977,115.26107200622559,0.314930185805208,558.9450191017343,556.3321586189106
deit_base_patch16_224,64,96,101,100,104.28029045104981,104.19472122192383,104.69758758544921,104.82260475158691,105.02400634765625,0.3367722708612388,614.2345720536716,610.5553296607152
deit_base_patch16_224,64,112,85,84,97.21969131469727,97.08875274658203,97.79595031738282,97.97903251647949,98.08773475646973,0.37142374164933917,659.1906702834134,653.200979395623
deit_base_patch16_224,64,128,69,68,86.55781997680664,86.51388549804688,86.91415023803711,87.06350288391113,87.33872886657714,0.26677267067702276,739.7656414523753,735.0956242288622
deit_base_patch16_224,64,144,53,52,77.57183591206868,77.45088195800781,78.24400253295899,78.267818069458,78.30940162658692,0.3298703445214047,826.330164125173,817.70517664366
