epsilon_pp,pattern,load_factor,deadline_factor,decoupled_slo,decoupled_throughput,cliffserve_slo,cliffserve_throughput,slo_gain_pp,throughput_gain_pct
1.0,onoff,0.8,4.0,0.00392,176.83576670125942,0.00392,176.83576670125942,0.0,0.0
1.0,onoff,0.8,8.0,0.01014,177.15833528899984,0.01018,177.16243551964016,0.0040000000000000105,0.002314444100881552
1.0,onoff,0.8,12.0,0.015280000000000002,177.49100687568585,0.01532,177.49223544097055,0.003999999999999837,0.0006921845260299264
1.0,onoff,0.95,2.0,0.0009000000000000001,177.03026909553563,0.0009000000000000001,177.03026909553563,0.0,0.0
1.0,onoff,0.95,4.0,0.0018199999999999998,177.09492425932214,0.0018199999999999998,177.09492425932214,0.0,0.0
1.0,onoff,0.95,8.0,0.00394,177.28928968314872,0.00394,177.28928968314872,0.0,0.0
1.0,onoff,0.95,12.0,0.0074399999999999996,177.5950886697338,0.00746,177.60045450243766,0.0020000000000000052,0.0030213857511673936
1.0,onoff,1.1,2.0,0.00132,176.97319232363566,0.00132,176.97319232363566,0.0,0.0
1.0,onoff,1.1,4.0,0.00232,177.02540165643356,0.00232,177.02540165643356,0.0,0.0
1.0,onoff,1.1,8.0,0.0058,177.24504776191466,0.0058,177.24504776191466,0.0,0.0
1.0,onoff,1.1,12.0,0.01182,177.65029729718847,0.01206,177.66577784357574,0.02399999999999989,0.008714055998093606
1.0,poisson,0.3,2.0,0.67418,130.47005352979653,0.67418,130.47005352979653,0.0,0.0
1.0,poisson,0.3,4.0,0.9989000000000001,130.47305798375115,0.9989000000000001,130.47305798375115,0.0,0.0
1.0,poisson,0.3,8.0,1.0,130.47305540504252,1.0,130.47305540504252,0.0,0.0
1.0,poisson,0.3,12.0,1.0,130.47305540504252,1.0,130.47305540504252,0.0,0.0
1.0,poisson,0.6,2.0,0.00066,177.15694564597044,0.00066,177.15694564597044,0.0,0.0
1.0,poisson,0.6,4.0,0.01042,177.68498700565036,0.01042,177.68498700565036,0.0,0.0
1.0,poisson,0.6,8.0,0.68194,230.65099927225756,0.6822,230.68161674141584,0.026000000000003798,0.013274370913141098
1.0,poisson,0.6,12.0,1.0,260.8920698283187,1.0,260.8920698283187,0.0,0.0
1.0,poisson,0.8,2.0,0.00041999999999999996,177.15878110251583,0.00041999999999999996,177.15878110251583,0.0,0.0
1.0,poisson,0.8,4.0,0.00268,177.31872291399506,0.00268,177.31872291399506,0.0,0.0
1.0,poisson,0.8,8.0,0.03548,180.14013134778537,0.03332,179.93710326667332,-0.21599999999999953,-0.11270563621388341
1.0,poisson,0.8,12.0,0.20006,197.19982193069387,0.2116,198.61577482463576,1.1540000000000021,0.7180294992555902
1.0,poisson,0.95,2.0,0.00031999999999999997,177.1583006570713,0.00031999999999999997,177.1583006570713,0.0,0.0
1.0,poisson,0.95,4.0,0.0014,177.24265922041988,0.0014,177.24265922041988,0.0,0.0
1.0,poisson,0.95,8.0,0.0077,177.79165753131844,0.00786,177.80537822717702,0.016000000000000042,0.007717288903830166
1.0,poisson,0.95,12.0,0.01762,178.74680278523357,0.01774,178.7566737733973,0.011999999999999858,0.005522329915796931
1.0,poisson,1.1,2.0,0.00026,177.15600743696817,0.00026,177.15600743696817,0.0,0.0
1.0,poisson,1.1,4.0,0.00134,177.24726951696323,0.00134,177.24726951696323,0.0,0.0
1.0,poisson,1.1,8.0,0.0055,177.62461540650793,0.0055,177.62461540650793,0.0,0.0
1.0,poisson,1.1,12.0,0.01046,178.10258442210807,0.01048,178.10639189136617,0.0019999999999999185,0.0021377956251678043
2.0,onoff,0.3,2.0,0.19812,129.8661486834241,0.19812,129.8661486834241,0.0,0.0
2.0,onoff,0.3,4.0,0.8431200000000001,129.9568273605431,0.8467399999999999,129.95701050608403,0.36199999999998456,0.00014092798712450616
2.0,onoff,0.3,8.0,1.0,129.97286916573378,1.0,129.97286916573378,0.0,0.0
2.0,onoff,0.3,12.0,1.0,129.97286916573378,1.0,129.97286916573378,0.0,0.0
2.0,onoff,0.6,2.0,0.00116,176.99364666091245,0.00116,176.99364666091245,0.0,0.0
