epsilon_pp,pattern,load_factor,deadline_factor,policy,slo_mean,slo_std,throughput_mean,throughput_std,p95_latency_mean,p99_latency_mean,scheduler_overhead_mean_us,scheduler_overhead_p95_us,mean_batch_size,mean_r
0.5,onoff,0.3,2.0,cliffserve,0.19812,0.015739345602660864,129.8661486834241,3.1689919687939,178.68134228038008,252.17060938263134,12.027335378017694,21.561039999999995,1.0313158789542791,0.0
0.5,onoff,0.3,2.0,decoupled,0.19812,0.015739345602660864,129.8661486834241,3.1689919687939,178.68134228038008,252.17060938263134,11.89290418935034,20.403170000000006,1.0313158789542791,0.0
0.5,onoff,0.3,2.0,dense,0.19812,0.015739345602660864,129.8661486834241,3.1689919687939,178.68134228038008,252.17060938263134,10.204017056446265,18.631870000000003,1.0313158789542791,0.0
0.5,onoff,0.3,2.0,joint_full,0.19812,0.015739345602660864,129.8661486834241,3.1689919687939,178.68134228038008,252.17060938263134,11.99747452848465,21.305730000000004,1.0313158789542791,0.0
0.5,onoff,0.3,2.0,static_pomt,0.19812,0.015739345602660864,129.8661486834241,3.1689919687939,178.68134228038008,252.17060938263134,10.896936849887588,19.64604,1.0313158789542791,0.0
0.5,onoff,0.3,4.0,cliffserve,0.81386,0.02666117026688816,129.95666044410322,3.2032771784082437,100.89132585359445,176.46135139139574,9.123813355310181,15.948550000000001,1.4368521522980786,0.0
0.5,onoff,0.3,4.0,decoupled,0.81386,0.02666117026688816,129.95666044410322,3.2032771784082437,100.89132585359445,176.46135139139574,10.325179173157176,15.282999999999998,1.4368521522980786,0.0
0.5,onoff,0.3,4.0,dense,0.81386,0.02666117026688816,129.95666044410322,3.2032771784082437,100.89132585359445,176.46135139139574,8.548791708303014,13.555299999999999,1.4368521522980786,0.0
0.5,onoff,0.3,4.0,joint_full,0.81386,0.02666117026688816,129.95666044410322,3.2032771784082437,100.89132585359445,176.46135139139574,9.13317066537789,15.909209999999998,1.4368521522980786,0.0
0.5,onoff,0.3,4.0,static_pomt,0.81386,0.02666117026688816,129.95666044410322,3.2032771784082437,100.89132585359445,176.46135139139574,9.010129038202942,14.443389999999999,1.4368521522980786,0.0
0.5,onoff,0.3,8.0,cliffserve,1.0,0.0,129.97226463620032,3.2037640139212735,22.073726026782147,29.54273942362557,7.563944378673982,10.781,1.6801588742080735,0.0
0.5,onoff,0.3,8.0,decoupled,1.0,0.0,129.97226463620032,3.2037640139212735,22.073726026782147,29.54273942362557,9.42334983249173,11.97284,1.6801588742080735,0.0
0.5,onoff,0.3,8.0,dense,1.0,0.0,129.97226463620032,3.2037640139212735,22.073726026782147,29.54273942362557,7.539683342630643,9.957040000000001,1.6801588742080735,0.0
0.5,onoff,0.3,8.0,joint_full,1.0,0.0,129.97226463620032,3.2037640139212735,22.073726026782147,29.54273942362557,7.575441933446733,10.774600000000001,1.6801588742080735,0.0
0.5,onoff,0.3,8.0,static_pomt,1.0,0.0,129.97226463620032,3.2037640139212735,22.073726026782147,29.54273942362557,7.917923093687518,10.467600000000001,1.6801588742080735,0.0
0.5,onoff,0.3,12.0,cliffserve,1.0,0.0,129.97224163565718,3.203780957384704,22.039651096996575,29.530350481776416,7.550278393861018,10.7786,1.680385759513334,0.0
0.5,onoff,0.3,12.0,decoupled,1.0,0.0,129.97224163565718,3.203780957384704,22.039651096996575,29.530350481776416,9.350304881401716,11.87933,1.680385759513334,0.0
0.5,onoff,0.3,12.0,dense,1.0,0.0,129.97224163565718,3.203780957384704,22.039651096996575,29.530350481776416,7.535467131745548,9.959349999999999,1.680385759513334,0.0
0.5,onoff,0.3,12.0,joint_full,1.0,0.0,129.97224163565718,3.203780957384704,22.039651096996575,29.530350481776416,7.52681961910928,10.74485,1.680385759513334,0.0
0.5,onoff,0.3,12.0,static_pomt,1.0,0.0,129.97224163565718,3.203780957384704,22.039651096996575,29.530350481776416,7.912247113769951,10.44761,1.680385759513334,0.0
0.5,onoff,0.6,2.0,cliffserve,0.00116,0.0010830512453249845,176.99364666091245,0.22486863382964212,16610.10768915891,17282.272446773437,38.26676194799839,45.334950000000006,1.000180078043826,0.0
0.5,onoff,0.6,2.0,decoupled,0.00116,0.0010830512453249845,176.99364666091245,0.22486863382964212,16610.10768915891,17282.272446773437,36.98656148454778,43.83639,1.000180078043826,0.0
0.5,onoff,0.6,2.0,dense,0.00116,0.0010830512453249845,176.99364666091245,0.22486863382964212,16610.10768915891,17282.272446773437,35.36544653345335,42.314569999999996,1.000180078043826,0.0
0.5,onoff,0.6,2.0,joint_full,0.00116,0.0010830512453249845,176.99364666091245,0.22486863382964212,16610.10768915891,17282.272446773437,38.22337591766827,45.11541000000001,1.000180078043826,0.0
0.5,onoff,0.6,2.0,static_pomt,0.00116,0.0010830512453249845,176.99364666091245,0.22486863382964212,16610.10768915891,17282.272446773437,36.75988211321072,43.673500000000004,1.000180078043826,0.0
0.5,onoff,0.6,4.0,cliffserve,0.00412,0.0046900959478458435,177.09653021157186,0.1541103601163803,16577.070798089502,17249.28358392136,38.10723513963366,44.80778,1.001886876252281,0.0
0.5,onoff,0.6,4.0,decoupled,0.00412,0.0046900959478458435,177.09653021157186,0.1541103601163803,16577.070798089502,17249.28358392136,36.88123938884638,43.827329999999996,1.001886876252281,0.0
0.5,onoff,0.6,4.0,dense,0.00412,0.0046900959478458435,177.09653021157186,0.1541103601163803,16577.070798089502,17249.28358392136,35.2569544787019,41.99213999999999,1.001886876252281,0.0
0.5,onoff,0.6,4.0,joint_full,0.00412,0.0046900959478458435,177.09653021157186,0.1541103601163803,16577.070798089502,17249.28358392136,38.218484173045894,45.217229999999994,1.001886876252281,0.0
0.5,onoff,0.6,4.0,static_pomt,0.00412,0.0046900959478458435,177.09653021157186,0.1541103601163803,16577.070798089502,17249.28358392136,36.78524103968037,43.82055,1.001886876252281,0.0
0.5,onoff,0.6,8.0,cliffserve,0.01632,0.01382197525681478,177.7814225119883,0.4789185936112613,16360.307881557927,17032.2473077021,38.04862497671256,44.93892,1.0109323911118762,0.0
0.5,onoff,0.6,8.0,decoupled,0.01632,0.01382197525681478,177.7814225119883,0.4789185936112613,16360.307881557927,17032.2473077021,36.89227471320281,43.73769,1.0109323911118762,0.0
0.5,onoff,0.6,8.0,dense,0.01632,0.01382197525681478,177.7814225119883,0.4789185936112613,16360.307881557927,17032.2473077021,35.15083487241698,42.09731,1.0109323911118762,0.0
