requests,slo_attainment,throughput_qps,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,queue_p95_ms,mean_batch_size,mean_r,estimated_accuracy_pct,scheduler_overhead_mean_us,scheduler_overhead_p95_us,epsilon_pp,seed,pattern,load_factor,offered_qps,deadline_factor,deadline_ms,policy,static_r
10000,0.6952,128.89998623271555,8.987424196327083,27.45506356156438,39.92354313086561,21.7903690922634,1.1063170704723977,0.0,71.19807800000002,6.887585794888815,8.436,0.5,84,poisson,0.3,131.16188688060285,2.0,11.398204660415647,dense,0
10000,0.6952,128.89998623271555,8.987424196327083,27.45506356156438,39.92354313086561,21.7903690922634,1.1063170704723977,0.0,71.19807800000002,7.404591326474167,9.087,0.5,84,poisson,0.3,131.16188688060285,2.0,11.398204660415647,static_pomt,0
10000,0.6952,128.89998623271555,8.987424196327083,27.45506356156438,39.92354313086561,21.7903690922634,1.1063170704723977,0.0,71.19807800000002,8.754206328133645,10.310900000000004,0.5,84,poisson,0.3,131.16188688060285,2.0,11.398204660415647,decoupled,0
10000,0.6952,128.89998623271555,8.987424196327083,27.45506356156438,39.92354313086561,21.7903690922634,1.1063170704723977,0.0,71.19807800000002,7.502442637459896,10.58,0.5,84,poisson,0.3,131.16188688060285,2.0,11.398204660415647,joint_full,0
10000,0.6952,128.89998623271555,8.987424196327083,27.45506356156438,39.92354313086561,21.7903690922634,1.1063170704723977,0.0,71.19807800000002,7.457565881181548,10.5,0.5,84,poisson,0.3,131.16188688060285,2.0,11.398204660415647,cliffserve,0
10000,1.0,128.8999373699791,7.892360815649226,14.064693109711508,17.421430309102,6.664379662653889,1.279263144428809,0.0,71.19579200000003,7.024559677625687,8.426,0.5,84,poisson,0.3,131.16188688060285,4.0,22.796409320831295,dense,0
10000,1.0,128.8999373699791,7.892360815649226,14.064693109711508,17.421430309102,6.664379662653889,1.279263144428809,0.0,71.19579200000003,7.3774410899322,8.837,0.5,84,poisson,0.3,131.16188688060285,4.0,22.796409320831295,static_pomt,0
10000,1.0,128.8999373699791,7.892360815649226,14.064693109711508,17.421430309102,6.664379662653889,1.279263144428809,0.0,71.19579200000003,8.914364589996163,10.44,0.5,84,poisson,0.3,131.16188688060285,4.0,22.796409320831295,decoupled,0
10000,1.0,128.8999373699791,7.892360815649226,14.064693109711508,17.421430309102,6.664379662653889,1.279263144428809,0.0,71.19579200000003,6.8991954714084684,8.937,0.5,84,poisson,0.3,131.16188688060285,4.0,22.796409320831295,joint_full,0
10000,1.0,128.8999373699791,7.892360815649226,14.064693109711508,17.421430309102,6.664379662653889,1.279263144428809,0.0,71.19579200000003,6.861440194447997,8.917,0.5,84,poisson,0.3,131.16188688060285,4.0,22.796409320831295,cliffserve,0
10000,1.0,128.8999373699791,7.892704010009766,14.064693109711508,17.430303798589087,6.662420212409368,1.279263144428809,0.0,71.19579400000003,7.031583855699118,8.456,0.5,84,poisson,0.3,131.16188688060285,8.0,45.5928186416626,dense,0
10000,1.0,128.8999373699791,7.892704010009766,14.064693109711508,17.430303798589087,6.662420212409368,1.279263144428809,0.0,71.19579400000003,7.427285019828578,8.867,0.5,84,poisson,0.3,131.16188688060285,8.0,45.5928186416626,static_pomt,0
10000,1.0,128.8999373699791,7.892704010009766,14.064693109711508,17.430303798589087,6.662420212409368,1.279263144428809,0.0,71.19579400000003,8.915917231674554,10.44,0.5,84,poisson,0.3,131.16188688060285,8.0,45.5928186416626,decoupled,0
10000,1.0,128.8999373699791,7.892704010009766,14.064693109711508,17.430303798589087,6.662420212409368,1.279263144428809,0.0,71.19579400000003,6.8817878981706535,8.917,0.5,84,poisson,0.3,131.16188688060285,8.0,45.5928186416626,joint_full,0
10000,1.0,128.8999373699791,7.892704010009766,14.064693109711508,17.430303798589087,6.662420212409368,1.279263144428809,0.0,71.19579400000003,6.903728924139696,8.937,0.5,84,poisson,0.3,131.16188688060285,8.0,45.5928186416626,cliffserve,0
10000,1.0,128.8999373699791,7.892704010009766,14.064693109711508,17.430303798589087,6.662420212409368,1.279263144428809,0.0,71.19579400000003,7.036439298963797,8.426,0.5,84,poisson,0.3,131.16188688060285,12.0,68.38922796249389,dense,0
10000,1.0,128.8999373699791,7.892704010009766,14.064693109711508,17.430303798589087,6.662420212409368,1.279263144428809,0.0,71.19579400000003,7.408914161443008,8.857,0.5,84,poisson,0.3,131.16188688060285,12.0,68.38922796249389,static_pomt,0
10000,1.0,128.8999373699791,7.892704010009766,14.064693109711508,17.430303798589087,6.662420212409368,1.279263144428809,0.0,71.19579400000003,8.913728284508123,10.429,0.5,84,poisson,0.3,131.16188688060285,12.0,68.38922796249389,decoupled,0
10000,1.0,128.8999373699791,7.892704010009766,14.064693109711508,17.430303798589087,6.662420212409368,1.279263144428809,0.0,71.19579400000003,6.90324676986056,8.947,0.5,84,poisson,0.3,131.16188688060285,12.0,68.38922796249389,joint_full,0
10000,1.0,128.8999373699791,7.892704010009766,14.064693109711508,17.430303798589087,6.662420212409368,1.279263144428809,0.0,71.19579400000003,6.899926314442881,8.937,0.5,84,poisson,0.3,131.16188688060285,12.0,68.38922796249389,cliffserve,0
10000,0.0008,177.14259361515994,8784.767449027117,16868.712592600885,17536.98598351552,16863.071867870396,1.0002000400080016,0.0,71.19999600000001,35.41594058811763,41.99599999999999,0.5,84,poisson,0.6,262.3237737612057,2.0,11.398204660415647,dense,0
10000,0.0008,177.14259361515994,8784.767449027117,16868.712592600885,17536.98598351552,16863.071867870396,1.0002000400080016,0.0,71.19999600000001,36.98677765553111,43.40585,0.5,84,poisson,0.6,262.3237737612057,2.0,11.398204660415647,static_pomt,0
10000,0.0008,177.14259361515994,8784.767449027117,16868.712592600885,17536.98598351552,16863.071867870396,1.0002000400080016,0.0,71.19999600000001,37.157791158231646,43.773,0.5,84,poisson,0.6,262.3237737612057,2.0,11.398204660415647,decoupled,0
10000,0.0008,177.14259361515994,8784.767449027117,16868.712592600885,17536.98598351552,16863.071867870396,1.0002000400080016,0.0,71.19999600000001,38.615616423284656,46.3195,0.5,84,poisson,0.6,262.3237737612057,2.0,11.398204660415647,joint_full,0
10000,0.0008,177.14259361515994,8784.767449027117,16868.712592600885,17536.98598351552,16863.071867870396,1.0002000400080016,0.0,71.19999600000001,38.53163772754551,44.9275,0.5,84,poisson,0.6,262.3237737612057,2.0,11.398204660415647,cliffserve,0
10000,0.0283,178.6560461373385,8306.408664711093,16390.580828620063,17058.517827451527,16384.924687982664,1.0134792743488397,0.0,71.19977000000002,34.62938765582244,37.2507,0.5,84,poisson,0.6,262.3237737612057,4.0,22.796409320831295,dense,0
10000,0.0283,178.6560461373385,8306.408664711093,16390.580828620063,17058.517827451527,16384.924687982664,1.0134792743488397,0.0,71.19977000000002,36.451901084422815,42.68829999999999,0.5,84,poisson,0.6,262.3237737612057,4.0,22.796409320831295,static_pomt,0
10000,0.0283,178.6560461373385,8306.408664711093,16390.580828620063,17058.517827451527,16384.924687982664,1.0134792743488397,0.0,71.19977000000002,36.64904611330698,42.901,0.5,84,poisson,0.6,262.3237737612057,4.0,22.796409320831295,decoupled,0
10000,0.0283,178.6560461373385,8306.408664711093,16390.580828620063,17058.517827451527,16384.924687982664,1.0134792743488397,0.0,71.19977000000002,38.28927880814837,45.44369999999999,0.5,84,poisson,0.6,262.3237737612057,4.0,22.796409320831295,joint_full,0
10000,0.0283,178.6560461373385,8306.408664711093,16390.580828620063,17058.517827451527,16384.924687982664,1.0134792743488397,0.0,71.19977000000002,38.19435917705483,45.376,0.5,84,poisson,0.6,262.3237737612057,4.0,22.796409320831295,cliffserve,0
10000,1.0,257.7591578383389,13.17948861034347,26.748066753711093,34.52992356995268,13.750278690365116,2.1172983273343213,0.0,71.19160400000003,8.270875714588186,10.31,0.5,84,poisson,0.6,262.3237737612057,8.0,45.5928186416626,dense,0
10000,1.0,257.7591578383389,13.17948861034347,26.748066753711093,34.52992356995268,13.750278690365116,2.1172983273343213,0.0,71.19160400000003,8.668706330722,10.801,0.5,84,poisson,0.6,262.3237737612057,8.0,45.5928186416626,static_pomt,0
10000,1.0,257.7591578383389,13.17948861034347,26.748066753711093,34.52992356995268,13.750278690365116,2.1172983273343213,0.0,71.19160400000003,10.14814249417743,12.444,0.5,84,poisson,0.6,262.3237737612057,8.0,45.5928186416626,decoupled,0
10000,1.0,257.7591578383389,13.17948861034347,26.748066753711093,34.52992356995268,13.750278690365116,2.1172983273343213,0.0,71.19160400000003,8.518315900910437,11.101,0.5,84,poisson,0.6,262.3237737612057,8.0,45.5928186416626,joint_full,0
10000,1.0,257.7591578383389,13.17948861034347,26.748066753711093,34.52992356995268,13.750278690365116,2.1172983273343213,0.0,71.19160400000003,8.452192674147787,11.081,0.5,84,poisson,0.6,262.3237737612057,8.0,45.5928186416626,cliffserve,0
10000,1.0,257.7590204919569,13.181334021537625,26.703123762866188,34.332535057528084,13.700715220169648,2.1190930281839373,0.0,71.19160600000002,8.184100656918837,10.219,0.5,84,poisson,0.6,262.3237737612057,12.0,68.38922796249389,dense,0
10000,1.0,257.7590204919569,13.181334021537625,26.703123762866188,34.332535057528084,13.700715220169648,2.1190930281839373,0.0,71.19160600000002,8.608509853782582,10.7201,0.5,84,poisson,0.6,262.3237737612057,12.0,68.38922796249389,static_pomt,0
10000,1.0,257.7590204919569,13.181334021537625,26.703123762866188,34.332535057528084,13.700715220169648,2.1190930281839373,0.0,71.19160600000002,9.950227590591226,12.143,0.5,84,poisson,0.6,262.3237737612057,12.0,68.38922796249389,decoupled,0
10000,1.0,257.7590204919569,13.181334021537625,26.703123762866188,34.332535057528084,13.700715220169648,2.1190930281839373,0.0,71.19160600000002,8.437572790845518,11.091,0.5,84,poisson,0.6,262.3237737612057,12.0,68.38922796249389,joint_full,0
10000,1.0,257.7590204919569,13.181334021537625,26.703123762866188,34.332535057528084,13.700715220169648,2.1190930281839373,0.0,71.19160600000002,8.47148569612206,11.091,0.5,84,poisson,0.6,262.3237737612057,12.0,68.38922796249389,cliffserve,0
10000,0.0008,177.16815764313327,13637.675910046584,26044.80044352069,27116.459937703585,26039.130469265125,1.0002000400080016,0.0,71.19999600000001,35.23435957191439,41.83,0.5,84,poisson,0.8,349.76503168160764,2.0,11.398204660415647,dense,0
10000,0.0008,177.16815764313327,13637.675910046584,26044.80044352069,27116.459937703585,26039.130469265125,1.0002000400080016,0.0,71.19999600000001,37.255061612322464,44.31549999999999,0.5,84,poisson,0.8,349.76503168160764,2.0,11.398204660415647,static_pomt,0
10000,0.0008,177.16815764313327,13637.675910046584,26044.80044352069,27116.459937703585,26039.130469265125,1.0002000400080016,0.0,71.19999600000001,37.29779025805161,43.92699999999999,0.5,84,poisson,0.8,349.76503168160764,2.0,11.398204660415647,decoupled,0
10000,0.0008,177.16815764313327,13637.675910046584,26044.80044352069,27116.459937703585,26039.130469265125,1.0002000400080016,0.0,71.19999600000001,38.99086067213442,46.27949999999999,0.5,84,poisson,0.8,349.76503168160764,2.0,11.398204660415647,joint_full,0
10000,0.0008,177.16815764313327,13637.675910046584,26044.80044352069,27116.459937703585,26039.130469265125,1.0002000400080016,0.0,71.19999600000001,38.98389707941588,46.23249999999999,0.5,84,poisson,0.8,349.76503168160764,2.0,11.398204660415647,cliffserve,0
10000,0.0017,177.23684313696387,13615.766725829131,26022.76210826888,27094.552186663124,26017.06317225947,1.00080064051241,0.0,71.19998800000002,35.87115032025621,42.86549999999999,0.5,84,poisson,0.8,349.76503168160764,4.0,22.796409320831295,dense,0
10000,0.0017,177.23684313696387,13615.766725829131,26022.76210826888,27094.552186663124,26017.06317225947,1.00080064051241,0.0,71.19998800000002,37.63613080464371,44.98049999999999,0.5,84,poisson,0.8,349.76503168160764,4.0,22.796409320831295,static_pomt,0
10000,0.0017,177.23684313696387,13615.766725829131,26022.76210826888,27094.552186663124,26017.06317225947,1.00080064051241,0.0,71.19998800000002,37.480283026421134,44.34904999999999,0.5,84,poisson,0.8,349.76503168160764,4.0,22.796409320831295,decoupled,0
10000,0.0017,177.23684313696387,13615.766725829131,26022.76210826888,27094.552186663124,26017.06317225947,1.00080064051241,0.0,71.19998800000002,38.75995366293034,45.28499999999998,0.5,84,poisson,0.8,349.76503168160764,4.0,22.796409320831295,joint_full,0
10000,0.0017,177.23684313696387,13615.766725829131,26022.76210826888,27094.552186663124,26017.06317225947,1.00080064051241,0.0,71.19998800000002,38.73143925140112,44.84545,0.5,84,poisson,0.8,349.76503168160764,4.0,22.796409320831295,cliffserve,0
10000,0.0152,178.34206731106715,13266.009286787716,25672.95103563295,26744.771958872967,25667.26966766344,1.0105092966855296,0.0,71.19985800000003,35.574057295877125,42.23,0.5,84,poisson,0.8,349.76503168160764,8.0,45.5928186416626,dense,0
10000,0.0152,178.34206731106715,13266.009286787716,25672.95103563295,26744.771958872967,25667.26966766344,1.0105092966855296,0.0,71.19985800000003,37.26247696038804,44.35475,0.5,84,poisson,0.8,349.76503168160764,8.0,45.5928186416626,static_pomt,0
10000,0.0152,178.34206731106715,13266.009286787716,25672.95103563295,26744.771958872967,25667.26966766344,1.0105092966855296,0.0,71.19985800000003,37.47296089329021,44.59425,0.5,84,poisson,0.8,349.76503168160764,8.0,45.5928186416626,decoupled,0
10000,0.0152,178.34206731106715,13266.009286787716,25672.95103563295,26744.771958872967,25667.26966766344,1.0105092966855296,0.0,71.19985800000003,38.6956958367017,45.386,0.5,84,poisson,0.8,349.76503168160764,8.0,45.5928186416626,joint_full,0
10000,0.0152,178.34206731106715,13266.009286787716,25672.95103563295,26744.771958872967,25667.26966766344,1.0105092966855296,0.0,71.19985800000003,38.80246938156831,45.7795,0.5,84,poisson,0.8,349.76503168160764,8.0,45.5928186416626,cliffserve,0
10000,0.049,181.43588590538255,12309.911066701034,24717.390009679068,25788.342742082183,24711.75690723824,1.0391769718383042,0.0,71.19952200000002,35.449357476878305,42.44899999999999,0.5,84,poisson,0.8,349.76503168160764,12.0,68.38922796249389,dense,0
10000,0.049,181.43588590538255,12309.911066701034,24717.390009679068,25788.342742082183,24711.75690723824,1.0391769718383042,0.0,71.19952200000002,37.13895011950535,44.364,0.5,84,poisson,0.8,349.76503168160764,12.0,68.38922796249389,static_pomt,0
10000,0.049,181.43588590538255,12309.911066701034,24717.390009679068,25788.342742082183,24711.75690723824,1.0391769718383042,0.0,71.19952200000002,37.21018008936922,44.394,0.5,84,poisson,0.8,349.76503168160764,12.0,68.38922796249389,decoupled,0
10000,0.049,181.43588590538255,12309.911066701034,24717.390009679068,25788.342742082183,24711.75690723824,1.0391769718383042,0.0,71.19952200000002,38.47734064221137,45.236,0.5,84,poisson,0.8,349.76503168160764,12.0,68.38922796249389,joint_full,0
10000,0.049,181.43588590538255,12309.911066701034,24717.390009679068,25788.342742082183,24711.75690723824,1.0391769718383042,0.0,71.19952200000002,38.09573771173231,44.97299999999999,0.5,84,poisson,0.8,349.76503168160764,12.0,68.38922796249389,cliffserve,0
10000,0.0006,177.16199083245476,15942.43251210379,30400.90695494869,31659.994244546,30395.25900470474,1.000100010001,0.0,71.19999800000002,35.47956835683568,42.1401,0.5,84,poisson,0.95,415.345975121909,2.0,11.398204660415647,dense,0
10000,0.0006,177.16199083245476,15942.43251210379,30400.90695494869,31659.994244546,30395.25900470474,1.000100010001,0.0,71.19999800000002,37.07773837383738,43.8041,0.5,84,poisson,0.95,415.345975121909,2.0,11.398204660415647,static_pomt,0
10000,0.0006,177.16199083245476,15942.43251210379,30400.90695494869,31659.994244546,30395.25900470474,1.000100010001,0.0,71.19999800000002,36.72291849184919,42.962,0.5,84,poisson,0.95,415.345975121909,2.0,11.398204660415647,decoupled,0
10000,0.0006,177.16199083245476,15942.43251210379,30400.90695494869,31659.994244546,30395.25900470474,1.000100010001,0.0,71.19999800000002,38.0930401040104,44.105,0.5,84,poisson,0.95,415.345975121909,2.0,11.398204660415647,joint_full,0
10000,0.0006,177.16199083245476,15942.43251210379,30400.90695494869,31659.994244546,30395.25900470474,1.000100010001,0.0,71.19999800000002,38.58151625162516,45.917,0.5,84,poisson,0.95,415.345975121909,2.0,11.398204660415647,cliffserve,0
