epsilon_pp,pattern,load_factor,deadline_factor,policy,slo_mean,slo_std,throughput_mean,throughput_std,p95_latency_mean,p99_latency_mean,scheduler_overhead_mean_us,scheduler_overhead_p95_us,mean_batch_size,mean_r
0.5,onoff,0.3,2.0,cliffserve,0.00198,0.0022631835983852482,174.81569991903672,0.2348332319537004,34922.97833269807,36385.42794509973,38.01630181393813,39.661950000000004,1.0006406769149712,0.0
0.5,onoff,0.3,2.0,decoupled,0.00198,0.0022631835983852482,174.81569991903672,0.2348332319537004,34922.97833269807,36385.42794509973,36.93358217050492,39.021280000000004,1.0006406769149712,0.0
0.5,onoff,0.3,2.0,dense,0.00198,0.0022631835983852482,174.81569991903672,0.2348332319537004,34922.97833269807,36385.42794509973,35.3547450238661,37.37292,1.0006406769149712,0.0
0.5,onoff,0.3,2.0,joint_full,0.00198,0.0022631835983852482,174.81569991903672,0.2348332319537004,34922.97833269807,36385.42794509973,38.868309858895266,40.7587,1.0006406769149712,0.0
0.5,onoff,0.3,2.0,static_pomt,0.00198,0.0022631835983852482,174.81569991903672,0.2348332319537004,34922.97833269807,36385.42794509973,36.63840303430532,38.910579999999996,1.0006406769149712,0.0
0.5,onoff,0.3,4.0,cliffserve,0.30574,0.06087386959936095,219.8340454291603,12.402766645040579,23321.270459442407,24783.57370027231,35.21505055286184,39.65433,1.3059415010884101,0.0
0.5,onoff,0.3,4.0,decoupled,0.30574,0.06087386959936095,219.8340454291603,12.402766645040579,23321.270459442407,24783.57370027231,34.465472664675595,38.9033,1.3059415010884101,0.0
0.5,onoff,0.3,4.0,dense,0.30574,0.06087386959936095,219.8340454291603,12.402766645040579,23321.270459442407,24783.57370027231,32.3167116144197,37.00815,1.3059415010884101,0.0
0.5,onoff,0.3,4.0,joint_full,0.30574,0.06087386959936095,219.8340454291603,12.402766645040579,23321.270459442407,24783.57370027231,35.998059553866746,40.34695,1.3059415010884101,0.0
0.5,onoff,0.3,4.0,static_pomt,0.30574,0.06087386959936095,219.8340454291603,12.402766645040579,23321.270459442407,24783.57370027231,33.79031539508931,38.4543,1.3059415010884101,0.0
0.5,onoff,0.3,8.0,cliffserve,1.0,0.0,489.7158018974509,29.938492348194355,16.467204561200518,19.91439014856374,9.748452541839542,13.06431,4.005930339663076,0.0
0.5,onoff,0.3,8.0,decoupled,1.0,0.0,489.7158018974509,29.938492348194355,16.467204561200518,19.91439014856374,11.448700149226173,14.399000000000001,4.005930339663076,0.0
0.5,onoff,0.3,8.0,dense,1.0,0.0,489.7158018974509,29.938492348194355,16.467204561200518,19.91439014856374,9.216794879480485,11.874289999999998,4.005930339663076,0.0
0.5,onoff,0.3,8.0,joint_full,1.0,0.0,489.7158018974509,29.938492348194355,16.467204561200518,19.91439014856374,10.905996207917804,14.627590000000001,4.005930339663076,0.0
0.5,onoff,0.3,8.0,static_pomt,1.0,0.0,489.7158018974509,29.938492348194355,16.467204561200518,19.91439014856374,9.70463126917768,12.52507,4.005930339663076,0.0
0.5,onoff,0.3,12.0,cliffserve,1.0,0.0,489.7158018974509,29.938492348194355,16.467204561200518,19.91439014856374,9.761410214179936,13.072629999999998,4.005930339663076,0.0
0.5,onoff,0.3,12.0,decoupled,1.0,0.0,489.7158018974509,29.938492348194355,16.467204561200518,19.91439014856374,11.480985504181461,14.44119,4.005930339663076,0.0
0.5,onoff,0.3,12.0,dense,1.0,0.0,489.7158018974509,29.938492348194355,16.467204561200518,19.91439014856374,9.209964574328588,11.882200000000001,4.005930339663076,0.0
0.5,onoff,0.3,12.0,joint_full,1.0,0.0,489.7158018974509,29.938492348194355,16.467204561200518,19.91439014856374,10.888264612223153,14.62942,4.005930339663076,0.0
0.5,onoff,0.3,12.0,static_pomt,1.0,0.0,489.7158018974509,29.938492348194355,16.467204561200518,19.91439014856374,9.683291758044602,12.509739999999999,4.005930339663076,0.0
