model,batch_size,r,sequence_tokens,content_tokens,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_std_ms,throughput_median_qps,throughput_p95_qps,accuracy_pct,correct,num_samples,dense_accuracy_pct,accuracy_drop_pp,speedup_vs_dense_p95,pareto
deit_small_patch16_224,1,0,197,196,5.71660519917806,5.714080095291138,5.732534408569336,5.741983890533447,5.78889226436615,0.0188878252256476,175.00629730830698,174.1558351719961,68.52,6852,10000,68.52,0.0,1.0,True
deit_small_patch16_224,1,48,149,148,9.683268038431804,9.682528018951416,9.698789978027344,9.705419063568115,9.712741937637327,0.0125865548585711,103.27881293425853,103.03522119449404,68.17,6817,10000,68.52,0.3499999999999943,0.5916265802563352,False
deit_small_patch16_224,1,64,133,132,9.666424318949382,9.666415691375732,9.68177309036255,9.68651556968689,9.7003848361969,0.0132779665101822,103.450961755368,103.2362971809402,67.92,6792,10000,68.52,0.5999999999999943,0.5927811553312822,False
deit_small_patch16_224,1,80,117,116,9.642461020151774,9.64299201965332,9.657506942749023,9.661633491516112,9.671572074890136,0.0128242186983044,103.70225319713076,103.5021666758629,67.27,6727,10000,68.52,1.25,0.5943077736881127,False
deit_small_patch16_224,1,96,101,100,9.625879052480062,9.624832153320312,9.642700576782229,9.649025917053224,9.698635368347167,0.0199467979565758,103.89791573196696,103.63740429307462,66.72,6672,10000,68.52,1.7999999999999972,0.5950843059075364,False
deit_small_patch16_224,1,112,85,84,9.7033198928833,9.701103687286375,9.716572952270509,9.722873497009278,9.84084511756897,0.0258214128569214,103.08105471654052,102.8502530972553,65.65,6565,10000,68.52,2.8699999999999903,0.5905644964217277,False
deit_small_patch16_224,1,128,69,68,9.700943349202474,9.700431823730469,9.716985702514648,9.722737503051755,9.727426061630249,0.0125993830736963,103.0881942341648,102.85169168519892,63.54,6354,10000,68.52,4.979999999999997,0.5905727567705251,False
deit_small_patch16_224,1,144,53,52,9.739102713267007,9.73918390274048,9.753308486938476,9.755550527572632,9.764158926010133,0.0110798402682228,102.67800772491964,102.50574759196284,60.47,6047,10000,68.52,8.049999999999997,0.5885863513601383,False
deit_small_patch16_224,2,0,197,196,5.647479031880697,5.6469597816467285,5.663846397399903,5.670132756233215,5.676423306465149,0.0119997851600491,354.1728783867438,352.7254274252021,68.52,6852,10000,68.52,0.0,1.0,True
deit_small_patch16_224,2,48,149,148,10.184497102101645,10.1845440864563,10.203932571411134,10.207915353775023,10.21417308807373,0.0139576025486547,196.3759971012996,195.92638954048272,68.2,6820,10000,68.52,0.3199999999999932,0.555464319572,False
deit_small_patch16_224,2,64,133,132,10.24167870203654,10.237663745880129,10.258617877960203,10.264695644378662,10.280916137695312,0.0265530352419262,195.35707067980684,194.8426012119781,67.93,6793,10000,68.52,0.5899999999999892,0.5523917077208612,False
deit_small_patch16_224,2,80,117,116,10.24998036066691,10.250784397125244,10.266403102874756,10.269379472732544,10.275101594924926,0.0126727656393576,195.10702035259712,194.75373417745823,67.27,6727,10000,68.52,1.25,0.5521397637791711,False
deit_small_patch16_224,2,96,101,100,10.281870924631754,10.28159999847412,10.298924827575684,10.304409503936768,10.31035792350769,0.013625163003454,194.5222533746516,194.091665246408,66.71,6671,10000,68.52,1.8100000000000023,0.550262754412755,False
deit_small_patch16_224,2,112,85,84,10.263802007039388,10.26187229156494,10.278950405120847,10.28318386077881,10.299049549102785,0.018018011991495,194.89620833071183,194.49229218085063,65.65,6565,10000,68.52,2.8699999999999903,0.5513985583647613,False
deit_small_patch16_224,2,128,69,68,10.295365346272789,10.2915358543396,10.308787441253662,10.318249273300172,10.459735326766967,0.0283004820485892,194.33445389559287,193.83133194652152,63.51,6351,10000,68.52,5.009999999999998,0.5495246922271426,False
deit_small_patch16_224,2,144,53,52,10.221821880340576,10.221871852874756,10.241363143920898,10.249393272399905,10.27638584136963,0.0182518545903256,195.6588801724733,195.1335017445085,60.5,6050,10000,68.52,8.019999999999996,0.5532164300400143,False
deit_small_patch16_224,4,0,197,196,5.6435703245798745,5.644144058227539,5.656345701217651,5.658966279029846,5.666647400856018,0.0100536108208082,708.6991328949427,706.8428760253624,68.52,6852,10000,68.52,0.0,1.0,True
deit_small_patch16_224,4,48,149,148,10.19099775314331,10.186495780944824,10.209561729431153,10.21672315597534,10.29749430656433,0.0252149730021889,392.6767443896187,391.5149641360855,68.19,6819,10000,68.52,0.3299999999999983,0.5538924949454219,False
deit_small_patch16_224,4,64,133,132,10.232204163869222,10.22926425933838,10.248115253448486,10.254532718658448,10.4096195602417,0.0298753833344704,391.0349658186186,390.07140644467137,67.91,6791,10000,68.52,0.6099999999999994,0.5518502338710352,False
deit_small_patch16_224,4,80,117,116,10.209862403869629,10.20961618423462,10.227241611480713,10.230054569244384,10.235466871261597,0.0137193780050141,391.787499923521,391.0047569077092,67.28,6728,10000,68.52,1.2399999999999949,0.5531706835702471,False
deit_small_patch16_224,4,96,101,100,10.205918083190918,10.20732831954956,10.220678520202636,10.226033878326415,10.234466247558592,0.0124966795554457,391.87531494788993,391.1584928813708,66.7,6670,10000,68.52,1.8199999999999932,0.5533881802429533,False
deit_small_patch16_224,4,112,85,84,10.153431873321534,10.15334415435791,10.167942333221436,10.17513108253479,10.183501920700074,0.0122000071316339,393.958871007358,393.1153286925062,65.63,6563,10000,68.52,2.8900000000000006,0.5561565972101566,False
deit_small_patch16_224,4,128,69,68,10.221137256622317,10.22115182876587,10.24715175628662,10.2510910987854,10.261763706207276,0.0226816913845628,391.345326535764,390.20236591926687,63.53,6353,10000,68.52,4.989999999999995,0.552035507683699,False
deit_small_patch16_224,4,144,53,52,10.251394729614258,10.250144004821776,10.268211174011231,10.273815631866457,10.281074542999267,0.0133492290185645,390.2384198815506,389.3392818529016,60.51,6051,10000,68.52,8.009999999999998,0.5508144667768167,False
deit_small_patch16_224,8,0,197,196,7.128338549931844,7.13265585899353,7.1464544296264645,7.1707007646560665,7.222701907157897,0.0311661894613757,1121.601849038159,1115.6510726861588,68.52,6852,10000,68.52,0.0,1.0,True
deit_small_patch16_224,8,48,149,148,10.33804797490438,10.338799953460692,10.357602977752686,10.361043071746826,10.371364889144898,0.0147289310960086,773.7841950720954,772.1230328454986,68.18,6818,10000,68.52,0.3399999999999892,0.6920829027542222,False
deit_small_patch16_224,8,64,133,132,10.21718079249064,10.21833610534668,10.234975910186767,10.238878393173218,10.25367681503296,0.0146370908630275,782.9063281461305,781.3355811837757,67.93,6793,10000,68.52,0.5899999999999892,0.7003404561809365,False
deit_small_patch16_224,8,80,117,116,10.205118923187255,10.201504230499268,10.22626256942749,10.241305494308472,10.366719827651975,0.029513199286157,784.1980769936391,781.1504113851441,67.28,6728,10000,68.52,1.2399999999999949,0.7001744815288568,False
deit_small_patch16_224,8,96,101,100,10.22928939819336,10.23361587524414,10.251773071289062,10.255086278915403,10.266261234283448,0.0327650524812195,781.7373739181065,780.1007014878176,66.71,6671,10000,68.52,1.8100000000000023,0.6992335870834285,False
deit_small_patch16_224,8,112,85,84,10.232775243123372,10.230576038360596,10.24909143447876,10.252824211120606,10.327050876617433,0.0234018083359505,781.9696535173756,780.2728141308512,65.63,6563,10000,68.52,2.8900000000000006,0.6993878581160545,False
deit_small_patch16_224,8,128,69,68,10.25044287999471,10.24824047088623,10.265395355224609,10.27174391746521,10.387724370956422,0.0269133824291636,780.6218074924026,778.8356158682532,63.53,6353,10000,68.52,4.989999999999995,0.6980996432809826,False
deit_small_patch16_224,8,144,53,52,10.234029394785564,10.234384059906006,10.25051212310791,10.255207777023315,10.260764846801758,0.0134996544878847,781.6786973375976,780.091459280222,60.55,6055,10000,68.52,7.969999999999999,0.6992253029452944,False
deit_small_patch16_224,16,0,197,196,12.733317082722982,12.631791591644289,12.982185745239258,13.079500770568847,13.431704301834106,0.1792459535362578,1266.645343530187,1223.2882799321198,68.52,6852,10000,68.52,0.0,1.0,True
deit_small_patch16_224,16,48,149,148,13.107829570770264,13.101840019226074,13.244518375396728,13.253681993484497,13.26712607383728,0.0676354384549949,1221.2025163275594,1207.2117022172097,68.18,6818,10000,68.52,0.3399999999999892,0.9868578993368577,False
deit_small_patch16_224,16,64,133,132,12.087484334309895,12.098512172698976,12.17002544403076,12.251289892196654,12.324126501083374,0.0845511451999497,1322.4766625523566,1305.9849322634225,67.91,6791,10000,68.52,0.6099999999999994,1.0676019329931712,True
deit_small_patch16_224,16,80,117,116,11.54220609664917,11.539616107940674,11.5778302192688,11.584795236587524,11.60746521949768,0.0250963595847885,1386.5279269550426,1381.1206562778266,67.29,6729,10000,68.52,1.2299999999999898,1.129023043002149,True
deit_small_patch16_224,16,96,101,100,11.459171638488767,11.458799839019775,11.496105861663818,11.499987316131593,11.509092464447022,0.0263881873937934,1396.3067882132318,1391.3058823600634,66.7,6670,10000,68.52,1.8199999999999932,1.1373491475265884,True
deit_small_patch16_224,16,112,85,84,11.402965799967449,11.401103973388672,11.427766609191895,11.43917145729065,11.552386283874512,0.0333143928604333,1403.3728696225924,1398.7026997311548,65.59,6559,10000,68.52,2.9299999999999926,1.1433958149331478,True
