batch_size,dense_p95_ms,dense_p95_qps,best_r,best_content_tokens,best_p95_ms,best_p95_qps,best_speedup_vs_dense,best_throughput_gain_pct
1,5.741983890533447,174.1558351719961,0,196,5.741983890533447,174.1558351719961,1.0,0.0
2,5.670132756233215,352.7254274252021,0,196,5.670132756233215,352.7254274252021,1.0,0.0
4,5.658966279029846,706.8428760253624,0,196,5.658966279029846,706.8428760253624,1.0,0.0
8,7.1707007646560665,1115.6510726861588,0,196,7.1707007646560665,1115.6510726861588,1.0,0.0
16,13.079500770568847,1223.2882799321198,144,52,11.176596689224244,1431.562795446146,1.1702579178847226,17.025791788472254
24,16.5424765586853,1450.8105793506036,144,52,11.728873491287231,2046.2323187157187,1.4104062569157938,41.04062569157936
32,20.45980854034424,1564.0420064000068,144,52,13.243107223510744,2416.351348661573,1.544940186244324,54.494018624432414
48,30.03218355178833,1598.28538331978,144,52,18.34886703491211,2615.965329558012,1.6367323113000136,63.67323113000136
64,38.62945880889893,1656.7666742785573,144,52,22.66747541427612,2823.4286717122627,1.7041800245902046,70.41800245902043
