batch_size,r,median_mean_ms,median_std_ms,p95_mean_ms,p95_std_ms,p99_mean_ms,p99_std_ms,p95_cv_pct,p95_ci95_halfwidth_ms
8,0,7.127039957046509,0.009704485759693696,7.175448412895203,0.015729665058057563,7.219044474601745,0.03188079931453837,0.21921508110614152,0.013787659330582994
8,64,10.44498233795166,0.047111742899639555,10.534627552032472,0.0300818687449686,10.560827693939208,0.027008841036072286,0.2855522760191444,0.026367920534358616
8,96,10.428774356842041,0.05881115865898455,10.513662948608399,0.037944437686227704,10.572511106491088,0.03862349605811901,0.36090597417572795,0.03325976607748871
16,0,12.569152069091796,0.06577141648237898,12.783985652923585,0.14408116308999344,12.991188949584961,0.21435096399582543,1.1270441550991834,0.12629270777901191
16,64,11.94765110015869,0.047039756683231446,12.033812351226807,0.045661664246358286,12.064360284805298,0.03526242457036677,0.3794447089055966,0.0400242134064865
16,96,11.515660953521728,0.03591720637856469,11.616404724121093,0.032285404486515776,11.657488164901732,0.033657985917728464,0.277929404607229,0.028299404772266976
32,0,23.404434967041016,0.09931406482094496,23.601436386108396,0.12936032878683243,23.70021374511719,0.11266998839295252,0.5481036267054187,0.11338932759355942
32,64,21.638611221313475,0.0725684668089292,21.761422290802,0.02846020864477705,21.884822566986085,0.07371803642661641,0.1307828517109677,0.024946472783951068
32,96,18.092671966552736,0.02019549962060877,18.270182132720947,0.022649758887540943,18.329292518615723,0.07862946931190648,0.12397117184166653,0.01985338901423645
64,0,44.67453804016113,0.01709080896674666,44.7987056350708,0.20821966221270935,44.842439140319826,0.2067979254773019,0.46478946045642877,0.18251258103218765
64,64,41.476070404052734,0.0062307307020023,41.89536380767822,0.04197969139238125,41.97474118041992,0.049934990338365064,0.10020128142362038,0.03679682190210829
64,96,33.912310409545896,0.06417619801919924,34.21473163604736,0.006753546262667072,34.26040118408203,0.019377385933903826,0.01973870885356233,0.0059197443047451824
