round,batch_size,r,median_ms,p95_ms,p99_ms,mean_ms,std_ms
0,8,0,7.114415884017944,7.154718375205993,7.261830263137817,7.1087007904052735,0.04224041432926441
0,8,64,10.365839958190918,10.486063861846924,10.520851163864135,10.357949883143107,0.09000301399575912
0,8,96,10.325311660766602,10.447579526901245,10.508563489913941,10.332708673477173,0.06649358067774457
0,16,0,12.465728282928467,12.54500970840454,12.633087692260743,12.475060262680053,0.03608742343224633
0,16,64,11.865647792816162,11.952627420425415,12.003064527511597,11.862974173227945,0.05439036033063294
0,16,96,11.459856033325195,11.569241380691528,11.608258256912231,11.46556962331136,0.0603760707461082
0,32,0,23.22718334197998,23.45546178817749,23.500979557037354,23.271565004984538,0.12492736862755932
0,32,64,21.50883197784424,21.71318769454956,21.753818359375,21.55526657740275,0.1108214490531404
0,32,96,18.05724811553955,18.22994966506958,18.26224594116211,18.04605442682902,0.09186723344160323
0,64,0,44.65092849731445,44.68401584625244,44.76676856994629,44.56422293345133,0.18506520124640127
0,64,64,41.46894454956055,41.820945739746094,41.92527549743652,41.485718154907225,0.12212089325173311
0,64,96,33.841665267944336,34.20589942932129,34.22682674407959,33.89313735961914,0.13864512417142003
1,8,0,7.120623826980591,7.169574618339539,7.183999104499817,7.122270509401957,0.031266903605931415
1,8,64,10.439359664916992,10.524974584579468,10.54550778388977,10.43185481707255,0.05812878588301932
1,8,96,10.440783977508545,10.51957302093506,10.608112440109252,10.433396905263265,0.061249311183835274
1,16,0,12.60590410232544,12.903374624252319,13.185742139816284,12.612189865112304,0.14534586623706683
1,16,64,11.954031944274902,12.052358531951905,12.076942100524903,11.94785257657369,0.06428246864810447
1,16,96,11.499216079711914,11.59662094116211,11.640554285049438,11.502381458282471,0.059180733420159795
1,32,0,23.459216117858887,23.49321174621582,23.720902805328368,23.39632926940918,0.12617071650958475
1,32,64,21.66960048675537,21.764988803863524,21.927535152435304,21.63797452926636,0.1072514148179919
1,32,96,18.097615242004395,18.27704076766968,18.298393611907958,18.119278246561688,0.08125285866627006
1,64,0,44.66235160827637,45.17050266265869,45.21138332366943,44.71787619272868,0.1679906688971001
1,64,64,41.47540855407715,41.90505847930908,41.95095726013184,41.52852511088054,0.1415111044186277
1,64,96,33.90110397338867,34.220136642456055,34.26983169555664,33.974009857177734,0.1762721528000845
2,8,0,7.138528108596802,7.178155183792114,7.221001071929931,7.1371809180577594,0.03465986031167998
2,8,64,10.47972822189331,10.558238840103149,10.58505012512207,10.474687821070352,0.05964696622623403
2,8,96,10.458831787109375,10.523990631103516,10.571042366027832,10.454155619939169,0.05410477991599691
2,16,0,12.610991954803467,12.757633352279663,12.96970808982849,12.598498903910318,0.09772290497495617
2,16,64,11.96504020690918,12.061412858963013,12.091452131271362,11.958361202875773,0.0673521170936913
2,16,96,11.539728164672852,11.638583564758301,11.668223266601563,11.537229541142782,0.06276803533741501
2,32,0,23.440879821777344,23.72387752532959,23.75548849105835,23.40418742497762,0.1614081669123852
2,32,64,21.6693115234375,21.763785743713377,21.91529420852661,21.639296226501465,0.10283750417791938
2,32,96,18.097536087036133,18.279606819152832,18.299401969909667,18.13004616419474,0.09304514317035086
2,64,0,44.68166542053223,44.713142013549806,44.75989730834961,44.67483912150065,0.05346801140553291
2,64,64,41.47496032714844,41.913598251342776,41.98020572662354,41.55020970662435,0.15923344869010042
2,64,96,33.972816467285156,34.21730632781983,34.27207698822021,33.98342379252116,0.16692536232986377
3,8,0,7.133615970611572,7.1766128778457645,7.192333950996399,7.130087782541911,0.030393259913769666
3,8,64,10.477888107299805,10.554359722137452,10.57915433883667,10.46817271232605,0.0596769637557206
3,8,96,10.4694242477417,10.54061279296875,10.578370962142944,10.462292998631796,0.055955124005791716
3,16,0,12.541584014892578,12.844096088409424,13.091404371261596,12.599926710128784,0.132698118568763
3,16,64,11.970143795013428,12.047499418258667,12.06844241142273,11.961338011423747,0.061633944241850175
3,16,96,11.535536289215088,11.644248247146606,11.694413585662842,11.536311877568563,0.06698956848365488
3,32,0,23.445775985717773,23.73888111114502,23.763014087677004,23.418277015686034,0.15811424666590904
3,32,64,21.67340850830078,21.78289928436279,21.90504831314087,21.64493127822876,0.10461945961829047
3,32,96,18.105040550231934,18.28447494506836,18.321740550994875,18.138197345733644,0.09255737549221935
3,64,0,44.68947219848633,44.71324520111084,44.74703784942627,44.67342940012614,0.06582111822674583
3,64,64,41.47489547729492,41.91718769073486,41.96049736022949,41.56141605377197,0.17114539594732933
3,64,96,33.86187171936035,34.209317207336426,34.26064762115478,33.96484850565592,0.16490089572941435
4,8,0,7.128015995025635,7.198181009292602,7.2360579824447635,7.133191693623861,0.031081059073563316
4,8,64,10.462095737457275,10.549500751495362,10.573575057983398,10.453381538391113,0.06357989754888005
4,8,96,10.449520111083984,10.536558771133423,10.596466274261473,10.445673411687215,0.0609539964552016
4,16,0,12.621551990509033,12.869814491271972,13.07600245475769,12.622042032877603,0.12294957675332063
4,16,64,11.983391761779785,12.055163526535035,12.081900253295899,11.974394569396972,0.05766512894353118
4,16,96,11.543968200683594,11.633329486846923,11.675991430282593,11.543869978586832,0.06180356687081608
4,32,0,23.449119567871094,23.59574975967407,23.760683784484865,23.426549167633056,0.10737144091860579
4,32,64,21.671903610229492,21.782249927520752,21.922416801452638,21.641550788879396,0.10886899068565034
4,32,96,18.10591983795166,18.279838466644286,18.464680519104004,18.14602228164673,0.09385253631119196
4,64,0,44.68827247619629,44.712622451782224,44.72710865020752,44.67636324564616,0.0607282713198187
4,64,64,41.48614311218262,41.920028877258304,42.05677005767822,41.59049059549967,0.18831739130293504
4,64,96,33.98409461975098,34.22099857330322,34.27262287139892,33.99083627065023,0.17523558474275733
