epsilon_pp,batch_size,best_r,best_content_tokens,accuracy_pct,dense_accuracy_pct,accuracy_drop_pp,dense_p95_ms,best_p95_ms,speedup_vs_dense,throughput_gain_pct
0.5,1,0,196,68.52,68.52,0.0,5.741983890533447,5.741983890533447,1.0,0.0
0.5,2,0,196,68.52,68.52,0.0,5.670132756233215,5.670132756233215,1.0,0.0
0.5,4,0,196,68.52,68.52,0.0,5.658966279029846,5.658966279029846,1.0,0.0
0.5,8,0,196,68.52,68.52,0.0,7.1707007646560665,7.1707007646560665,1.0,0.0
0.5,16,0,196,68.52,68.52,0.0,13.079500770568847,13.079500770568847,1.0,0.0
0.5,24,0,196,68.52,68.52,0.0,16.5424765586853,16.5424765586853,1.0,0.0
0.5,32,0,196,68.52,68.52,0.0,20.45980854034424,20.45980854034424,1.0,0.0
0.5,48,0,196,68.52,68.52,0.0,30.03218355178833,30.03218355178833,1.0,0.0
0.5,64,0,196,68.52,68.52,0.0,38.62945880889893,38.62945880889893,1.0,0.0
1.0,1,0,196,68.52,68.52,0.0,5.741983890533447,5.741983890533447,1.0,0.0
1.0,2,0,196,68.52,68.52,0.0,5.670132756233215,5.670132756233215,1.0,0.0
1.0,4,0,196,68.52,68.52,0.0,5.658966279029846,5.658966279029846,1.0,0.0
1.0,8,0,196,68.52,68.52,0.0,7.1707007646560665,7.1707007646560665,1.0,0.0
1.0,16,64,132,67.91,68.52,0.6099999999999994,13.079500770568847,12.251289892196654,1.0676019329931712,6.760193299317119
1.0,24,64,132,67.94,68.52,0.5799999999999983,16.5424765586853,15.807884693145752,1.046469966083322,4.64699660833221
1.0,32,64,132,67.93,68.52,0.5899999999999892,20.45980854034424,20.02386608123779,1.0217711433615173,2.177114336151731
1.0,48,64,132,67.94,68.52,0.5799999999999983,30.03218355178833,28.445530700683594,1.055778634183352,5.577863418335194
1.0,64,64,132,67.95,68.52,0.5699999999999932,38.62945880889893,36.88094692230224,1.0474096256335368,4.740962563353679
2.0,1,0,196,68.52,68.52,0.0,5.741983890533447,5.741983890533447,1.0,0.0
2.0,2,0,196,68.52,68.52,0.0,5.670132756233215,5.670132756233215,1.0,0.0
2.0,4,0,196,68.52,68.52,0.0,5.658966279029846,5.658966279029846,1.0,0.0
2.0,8,0,196,68.52,68.52,0.0,7.1707007646560665,7.1707007646560665,1.0,0.0
2.0,16,96,100,66.7,68.52,1.8199999999999927,13.079500770568847,11.499987316131593,1.1373491475265884,13.734914752658845
2.0,24,96,100,66.71,68.52,1.8100000000000025,16.5424765586853,13.624721336364749,1.2141515521886665,21.415155218866655
2.0,32,96,100,66.74,68.52,1.7800000000000011,20.45980854034424,16.58737802505493,1.2334564576414713,23.34564576414713
2.0,48,96,100,66.72,68.52,1.7999999999999972,30.03218355178833,23.80831022262573,1.2614160043684188,26.141600436841884
2.0,64,96,100,66.73,68.52,1.789999999999992,38.62945880889893,30.03129453659057,1.2863068144409238,28.630681444092374
