model,batch_size,r,sequence_tokens,content_tokens,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_std_ms,throughput_median_qps,throughput_p95_qps,accuracy_pct,correct,num_samples,dense_accuracy_pct,accuracy_drop_pp,speedup_vs_dense_p95,pareto
deit_small_patch16_224,4,32,165,164,10.192818959554037,10.192896366119385,10.21140193939209,10.218096017837524,10.228041286468505,0.015890396340477227,392.4301647268558,391.46236177633097,75.35,1507,2000,75.2,-0.14999999999999147,0.5538180762004098,True
deit_small_patch16_224,4,48,149,148,10.19099775314331,10.186495780944824,10.209561729431153,10.216723155975341,10.29749430656433,0.025214973002188914,392.6767443896187,391.5149641360855,74.85,1497,2000,75.2,0.3500000000000085,0.5538924949454218,False
deit_small_patch16_224,4,64,133,132,10.232204163869222,10.229264259338379,10.248115253448486,10.254532718658448,10.4096195602417,0.02987538333447044,391.0349658186186,390.07140644467137,74.7,1494,2000,75.2,0.5,0.5518502338710352,False
deit_small_patch16_224,4,80,117,116,10.209862403869629,10.20961618423462,10.227241611480713,10.230054569244384,10.235466871261597,0.013719378005014132,391.787499923521,391.0047569077092,74.2,1484,2000,75.2,1.0,0.5531706835702471,False
deit_small_patch16_224,4,96,101,100,10.205918083190918,10.20732831954956,10.220678520202636,10.226033878326415,10.234466247558593,0.012496679555445776,391.87531494788993,391.1584928813708,73.65,1473,2000,75.2,1.5499999999999972,0.5533881802429533,False
deit_small_patch16_224,4,112,85,84,10.153431873321534,10.15334415435791,10.167942333221436,10.17513108253479,10.183501920700074,0.012200007131633961,393.95887100735797,393.1153286925062,73.15,1463,2000,75.2,2.049999999999997,0.5561565972101566,False
deit_small_patch16_224,4,128,69,68,10.221137256622315,10.22115182876587,10.247151756286621,10.2510910987854,10.261763706207276,0.02268169138456281,391.34532653576395,390.20236591926687,71.3,1426,2000,75.2,3.9000000000000057,0.552035507683699,False
deit_small_patch16_224,4,144,53,52,10.251394729614258,10.250144004821777,10.268211174011231,10.273815631866455,10.281074542999267,0.013349229018564597,390.23841988155067,389.3392818529016,69.25,1385,2000,75.2,5.950000000000003,0.5508144667768167,False
deit_small_patch16_224,8,0,197,196,7.128338549931844,7.13265585899353,7.1464544296264645,7.1707007646560665,7.222701907157897,0.0311661894613757,1121.6018490381587,1115.6510726861588,75.2,1504,2000,75.2,0.0,1.0,True
deit_small_patch16_224,8,16,181,180,10.364143988291422,10.362031936645508,10.378636360168457,10.385073471069337,10.48829891204834,0.02474785824841141,772.0493479380101,770.336389269305,75.2,1504,2000,75.2,0.0,0.6904814669469748,False
