model,batch_size,r,sequence_tokens,content_tokens,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_std_ms,throughput_median_qps,throughput_p95_qps
deit_small_patch16_224,1,0,197,196,5.71660519917806,5.714080095291138,5.732534408569336,5.741983890533447,5.78889226436615,0.0188878252256476,175.00629730830698,174.1558351719961
deit_small_patch16_224,1,16,181,180,9.630116271972655,9.630303859710692,9.6480637550354,9.651550436019898,9.657397470474244,0.0137480928610376,103.83888344204762,103.61029625540448
deit_small_patch16_224,1,32,165,164,9.6420552444458,9.646912097930908,9.664931297302246,9.66927194595337,9.68005407333374,0.0316728358618083,103.66011318943004,103.42040285861484
deit_small_patch16_224,1,48,149,148,9.683268038431804,9.682528018951416,9.698789978027344,9.705419063568115,9.712741937637327,0.0125865548585711,103.27881293425853,103.03522119449404
deit_small_patch16_224,1,64,133,132,9.666424318949382,9.666415691375732,9.68177309036255,9.68651556968689,9.7003848361969,0.0132779665101822,103.450961755368,103.2362971809402
deit_small_patch16_224,1,80,117,116,9.642461020151774,9.64299201965332,9.657506942749023,9.661633491516112,9.671572074890136,0.0128242186983044,103.70225319713076,103.5021666758629
deit_small_patch16_224,1,96,101,100,9.625879052480062,9.624832153320312,9.642700576782229,9.649025917053224,9.698635368347167,0.0199467979565758,103.89791573196696,103.63740429307462
deit_small_patch16_224,1,112,85,84,9.7033198928833,9.701103687286375,9.716572952270509,9.722873497009278,9.84084511756897,0.0258214128569214,103.08105471654052,102.8502530972553
deit_small_patch16_224,1,128,69,68,9.700943349202474,9.700431823730469,9.716985702514648,9.722737503051755,9.727426061630249,0.0125993830736963,103.0881942341648,102.85169168519892
deit_small_patch16_224,1,144,53,52,9.739102713267007,9.73918390274048,9.753308486938476,9.755550527572632,9.764158926010133,0.0110798402682228,102.67800772491964,102.50574759196284
deit_small_patch16_224,2,0,197,196,5.647479031880697,5.6469597816467285,5.663846397399903,5.670132756233215,5.676423306465149,0.0119997851600491,354.1728783867438,352.7254274252021
deit_small_patch16_224,2,16,181,180,10.198946132659913,10.196336269378662,10.21771230697632,10.23145613670349,10.292475204467772,0.0245824080909781,196.1488859489993,195.4755973419427
deit_small_patch16_224,2,32,165,164,10.177674662272135,10.175935745239258,10.195814514160157,10.202585554122924,10.207693777084351,0.0135760810480797,196.54212153763712,196.0287408902725
deit_small_patch16_224,2,48,149,148,10.184497102101645,10.1845440864563,10.203932571411134,10.207915353775023,10.21417308807373,0.0139576025486547,196.3759971012996,195.92638954048272
deit_small_patch16_224,2,64,133,132,10.24167870203654,10.237663745880129,10.258617877960203,10.264695644378662,10.280916137695312,0.0265530352419262,195.35707067980684,194.8426012119781
deit_small_patch16_224,2,80,117,116,10.24998036066691,10.250784397125244,10.266403102874756,10.269379472732544,10.275101594924926,0.0126727656393576,195.10702035259712,194.75373417745823
deit_small_patch16_224,2,96,101,100,10.281870924631754,10.28159999847412,10.298924827575684,10.304409503936768,10.31035792350769,0.013625163003454,194.52225337465157,194.091665246408
deit_small_patch16_224,2,112,85,84,10.263802007039388,10.26187229156494,10.278950405120847,10.28318386077881,10.299049549102785,0.018018011991495,194.89620833071183,194.49229218085063
deit_small_patch16_224,2,128,69,68,10.295365346272789,10.2915358543396,10.308787441253662,10.318249273300172,10.459735326766967,0.0283004820485892,194.33445389559287,193.83133194652152
deit_small_patch16_224,2,144,53,52,10.221821880340576,10.221871852874756,10.241363143920898,10.249393272399905,10.27638584136963,0.0182518545903256,195.65888017247332,195.1335017445085
deit_small_patch16_224,4,0,197,196,5.6435703245798745,5.644144058227539,5.656345701217651,5.658966279029846,5.666647400856018,0.0100536108208082,708.6991328949427,706.8428760253624
