model,batch_size,r,sequence_tokens,content_tokens,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_std_ms,throughput_median_qps,throughput_p95_qps
deit_small_patch16_224,48,80,117,116,24.925368576049806,24.920063972473145,24.94090156555176,24.957468700408935,25.092830848693847,0.03256422815823861,1926.1587792479625,1923.2719702544796
deit_small_patch16_224,48,96,101,100,23.783950258890787,23.780272483825684,23.799480819702147,23.80831022262573,23.917017555236818,0.031061991554328025,2018.4798148401171,2016.1027620676834
deit_small_patch16_224,48,112,85,84,21.948034400939942,21.944640159606934,21.972892189025877,21.98321294784546,22.086141872406007,0.031280214965161764,2187.322264155994,2183.484284753035
deit_small_patch16_224,48,128,69,68,19.913615811665853,19.903583526611328,19.92442169189453,19.960795211791993,20.09714021682739,0.04508211066435243,2411.6260238174414,2404.7138147904866
deit_small_patch16_224,48,144,53,52,18.19376766204834,18.178847312927246,18.21433925628662,18.34886703491211,18.405352420806885,0.05492601711861353,2640.4314406594135,2615.965329558012
deit_small_patch16_224,64,0,197,196,38.48523951212565,38.46195030212402,38.600080490112305,38.629458808898924,38.75662261962891,0.07166725216167227,1663.9821823196953,1656.7666742785575
deit_small_patch16_224,64,16,181,180,44.1869007619222,44.171504974365234,44.24689712524414,44.32157402038574,44.361783485412595,0.05551586446530816,1448.897881952226,1443.9920380662284
deit_small_patch16_224,64,32,165,164,41.47901463826497,41.463600158691406,41.50956001281738,41.62799892425537,41.67654586791992,0.053478695410572395,1543.5225054036853,1537.4267717372584
deit_small_patch16_224,64,48,149,148,39.138542607625325,39.12558555603027,39.18112030029297,39.27067394256592,39.30668704986572,0.04804836352191625,1635.7582663740077,1629.7148374280812
deit_small_patch16_224,64,64,133,132,36.793450368245445,36.78588676452637,36.81492042541504,36.88094692230224,36.976150856018066,0.04411120698256608,1739.797667776136,1735.3133620682233
deit_small_patch16_224,64,80,117,116,32.061114400227865,32.055471420288086,32.081089401245116,32.13020133972168,32.21230388641357,0.03456963247146874,1996.5390357508218,1991.895392229571
deit_small_patch16_224,64,96,101,100,29.990264282226562,29.98580837249756,30.013139724731445,30.031294536590575,30.07870750427246,0.023744276182435475,2134.3429933574726,2131.110263063134
deit_small_patch16_224,64,112,85,84,27.858809127807618,27.856736183166504,27.87869510650635,27.892839336395262,28.00479824066162,0.03288866036754656,2297.4694371652354,2294.4957029344528
deit_small_patch16_224,64,128,69,68,25.445415267944338,25.43889617919922,25.485839462280275,25.495069694519042,25.63582088470459,0.052221648275617774,2515.832430352512,2510.2892742340214
deit_small_patch16_224,64,144,53,52,22.634497299194337,22.627967834472656,22.652504920959473,22.667475414276122,22.795953540802003,0.030382274360425177,2828.3582718594366,2823.4286717122627
