model,batch_size,r,sequence_tokens,content_tokens,latency_mean_ms,latency_median_ms,latency_p90_ms,latency_p95_ms,latency_p99_ms,latency_std_ms,throughput_median_qps,throughput_p95_qps,accuracy_pct,correct,num_samples,dense_accuracy_pct,accuracy_drop_pp,speedup_vs_dense_p95,pareto
deit_base_patch16_224,4,112,85,84,11.01274455388387,11.010464191436768,11.076547050476076,11.089737939834595,11.134630126953123,0.0531024171567755,363.2907687135428,360.6938253817439,66.45,6645,10000,71.19,4.739999999999995,1.04811578633116,True
deit_base_patch16_224,4,128,69,68,10.978159596125284,10.981087684631348,11.040118408203124,11.055192136764528,11.07478533744812,0.0525540627724825,364.2626409037992,361.8209390226538,63.43,6343,10000,71.19,7.759999999999998,1.0513909896113285,True
deit_base_patch16_224,4,144,53,52,10.944684158960978,10.947184085845947,11.002246284484864,11.019248294830325,11.038629035949707,0.0517319458018481,365.3907679484225,363.0011678633831,58.59,5859,10000,71.19,12.599999999999994,1.0548205367574224,True
deit_base_patch16_224,8,0,197,196,21.4877010345459,21.427568435668945,21.665766143798827,21.687922286987305,21.716065845489503,0.1110835233359823,373.350808516517,368.8688982807716,71.19,7119,10000,71.19,0.0,1.0,True
deit_base_patch16_224,8,48,149,148,20.96021727879842,21.00265598297119,21.098125457763672,21.23759765625,21.295886554718017,0.1354390880679404,380.9042059483498,376.6904397327485,70.3,7030,10000,71.19,0.8900000000000006,1.0212041228968654,True
deit_base_patch16_224,8,64,133,132,18.46152205149333,18.42664051055908,18.614582824707032,18.630164909362797,18.69436582565308,0.0880980388575964,434.1540171370757,429.4111210996051,69.9,6990,10000,71.19,1.289999999999992,1.164129377947041,True
deit_base_patch16_224,8,80,117,116,17.494384676615397,17.498528480529785,17.64741802215576,17.708112144470213,17.750920333862304,0.1093764840391804,457.1813000676839,451.7703487945322,69.22,6922,10000,71.19,1.9699999999999989,1.2247450270276203,True
deit_base_patch16_224,8,96,101,100,15.969369599024455,15.951567649841309,16.091686248779297,16.121504402160646,16.149234142303467,0.0652550034672228,501.5181062834026,496.2316047209477,68.27,6827,10000,71.19,2.9200000000000017,1.3452790599418645,True
deit_base_patch16_224,8,112,85,84,15.096353712081909,15.126415729522703,15.176316738128662,15.188270664215088,15.232610816955566,0.0803019508460606,528.8761159979324,526.7222435565827,66.47,6647,10000,71.19,4.719999999999999,1.4279388856353459,True
deit_base_patch16_224,8,128,69,68,13.911995836893718,13.91582441329956,13.982566165924071,14.0030179977417,14.047365217208862,0.0584769074857236,574.885092136854,571.3054143963951,63.54,6354,10000,71.19,7.649999999999999,1.5488034286955117,True
deit_base_patch16_224,8,144,53,52,13.744938561121623,13.740063667297363,13.818022441864011,13.836611652374268,13.88861918449402,0.054850819276292,582.2389323450333,578.1762328082146,58.64,5864,10000,71.19,12.549999999999997,1.567430150665955,True
deit_base_patch16_224,16,0,197,196,42.56977779388428,42.44124794006348,42.92936134338379,42.947314453125,42.97216178894043,0.215051414147268,376.9917421513047,372.5494877558236,71.19,7119,10000,71.19,0.0,1.0,True
deit_base_patch16_224,16,48,149,148,39.49575133005778,39.45588874816895,39.83824119567871,39.87220821380616,39.90939567565918,0.2044069133174277,405.5161474658842,401.2820136322382,70.31,7031,10000,71.19,0.8799999999999955,1.0771240514904328,True
deit_base_patch16_224,16,64,133,132,35.90607171376546,35.98535919189453,36.06917266845703,36.09162559509277,36.204823150634766,0.1710372379267532,444.6252687010526,443.31613597852055,69.88,6988,10000,71.19,1.3100000000000023,1.1899523433758652,True
deit_base_patch16_224,16,80,117,116,32.51874193827311,32.57276916503906,32.64467735290528,32.67510356903076,32.76762344360352,0.1303681503259105,491.20785275981655,489.6694502038149,69.19,6919,10000,71.19,2.0,1.3143742409995045,True
deit_base_patch16_224,16,96,101,100,29.86988332748413,29.81396770477295,30.081024742126463,30.09418020248413,30.156822052001957,0.1565832584624605,536.6612105586518,531.6642584162926,68.25,6825,10000,71.19,2.9399999999999977,1.427097005605752,True
deit_base_patch16_224,16,112,85,84,27.92357104619344,27.900400161743164,28.11489028930664,28.133363056182866,28.16279769897461,0.1233460676984152,573.4684774141372,568.7197782948201,66.42,6642,10000,71.19,4.769999999999996,1.5265616971336982,True
deit_base_patch16_224,16,128,69,68,24.866025352478022,24.88585567474365,25.000063514709478,25.15151596069336,25.19067361831665,0.1361652097975425,642.9354975420115,636.1445578471177,63.59,6359,10000,71.19,7.599999999999994,1.7075437727190206,True
deit_base_patch16_224,16,144,53,52,22.83456960678101,22.79470443725586,23.017369651794432,23.046272850036623,23.080195140838622,0.1109276612802779,701.9174143732025,694.2554270754707,58.58,5858,10000,71.19,12.61,1.863525383587427,True
deit_base_patch16_224,24,0,197,196,59.94234456380208,59.86387252807617,60.288561248779295,60.29963760375976,60.31617973327637,0.280437352661122,400.9095801268786,398.01234225831513,71.19,7119,10000,71.19,0.0,1.0,True
deit_base_patch16_224,24,48,149,148,55.619706026713054,55.48761558532715,56.05461311340332,56.09520359039307,56.14020484924316,0.2348421772540097,432.5289480693857,427.8440662279773,70.3,7030,10000,71.19,0.8900000000000006,1.0749517560194175,True
deit_base_patch16_224,24,64,133,132,52.61917682647705,52.57342529296875,52.98790168762207,53.02606163024903,53.16756935119629,0.2145250186409385,456.504400583726,452.6076284403717,69.9,6990,10000,71.19,1.289999999999992,1.1371698321521484,True
deit_base_patch16_224,24,80,117,116,46.06025190989176,46.07388877868652,46.27745399475098,46.35766181945801,46.57554912567139,0.2032266828783967,520.90241644856,517.7137728272205,69.23,6923,10000,71.19,1.9599999999999937,1.3007480368315254,True
deit_base_patch16_224,24,96,101,100,44.12427104949951,44.17950439453125,44.28045310974121,44.35762672424316,44.49428279876709,0.1985410570664146,543.2383257556604,541.056899847238,68.17,6817,10000,71.19,3.019999999999996,1.359397290991758,True
deit_base_patch16_224,24,112,85,84,40.30563934326172,40.21214485168457,40.57255172729492,40.58050880432129,40.72564811706543,0.2207219451285648,596.8346152268123,591.416931604473,66.42,6642,10000,71.19,4.769999999999996,1.4859261103532206,True
deit_base_patch16_224,24,128,69,68,35.64044686635335,35.61631965637207,35.714043045043944,35.83516864776611,36.012962646484375,0.1053049112481858,673.8483995975197,669.7331394168312,63.65,6365,10000,71.19,7.539999999999999,1.6826943999193016,True
deit_base_patch16_224,24,144,53,52,32.7896734491984,32.76878356933594,32.882943344116214,33.08676738739014,33.17777294158935,0.1103761126399756,732.4043612793272,725.3655130161419,58.63,5863,10000,71.19,12.559999999999995,1.8224698985474432,True
deit_base_patch16_224,32,0,197,196,77.06461985270182,77.08849334716797,77.12022399902344,77.27561988830567,77.9134635925293,0.2200010035906856,415.1073475504058,414.1021456217739,71.19,7119,10000,71.19,0.0,1.0,True
