requests,slo_attainment,throughput_qps,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms,queue_p95_ms,mean_batch_size,mean_r,estimated_accuracy_pct,scheduler_overhead_mean_us,scheduler_overhead_p95_us,seed,pattern,load_factor,offered_qps,deadline_factor,deadline_ms,policy,epsilon_pp
5000,0.0016,174.99454357570227,7595.541808080139,14403.212914884502,15000.360318854178,14397.50831822198,1.0004001600640255,0.0,75.10008,15.801228091236494,16.34,84,poisson,0.3,379.99360305905594,2,11.483967781066895,dense,1.0
5000,0.0016,174.99454357570227,7595.541808080139,14403.212914884502,15000.360318854178,14397.50831822198,1.0004001600640255,0.0,75.10008,17.046146658663467,17.543,84,poisson,0.3,379.99360305905594,2,11.483967781066895,static_pomt,1.0
5000,0.0016,174.99454357570227,7595.541808080139,14403.212914884502,15000.360318854178,14397.50831822198,1.0004001600640255,0.0,75.10008,1415.7570286114444,1468.5955000000001,84,poisson,0.3,379.99360305905594,2,11.483967781066895,decoupled,1.0
5000,0.0016,174.99454357570227,7595.541808080139,14403.212914884502,15000.360318854178,14397.50831822198,1.0004001600640255,0.0,75.10008,6918.4147344937965,6997.791649999999,84,poisson,0.3,379.99360305905594,2,11.483967781066895,joint_full,1.0
5000,0.0016,174.99454357570227,7595.541808080139,14403.212914884502,15000.360318854178,14397.50831822198,1.0004001600640255,0.0,75.10008,6907.292955382153,6981.598,84,poisson,0.3,379.99360305905594,2,11.483967781066895,cliffserve,1.0
5000,1.0,372.23756679526355,9.314930272192669,13.2561851011521,15.007812108878435,7.569141516195658,2.208480565371025,0.0,75.18772000000001,9.415813604240283,11.722,84,poisson,0.3,379.99360305905594,4,22.96793556213379,dense,1.0
5000,1.0,372.23756679526355,9.314930272192669,13.2561851011521,15.007812108878435,7.569141516195658,2.208480565371025,0.0,75.18772000000001,9.830640459363957,12.213,84,poisson,0.3,379.99360305905594,4,22.96793556213379,static_pomt,1.0
5000,1.0,372.23756679526355,9.314930272192669,13.2561851011521,15.007812108878435,7.569141516195658,2.208480565371025,0.0,75.18772000000001,1395.2584076855123,1475.12635,84,poisson,0.3,379.99360305905594,4,22.96793556213379,decoupled,1.0
5000,1.0,372.23756679526355,9.314930272192669,13.2561851011521,15.007812108878435,7.569141516195658,2.208480565371025,0.0,75.18772000000001,2765.371961130742,4186.352,84,poisson,0.3,379.99360305905594,4,22.96793556213379,joint_full,1.0
5000,1.0,372.23756679526355,9.314930272192669,13.2561851011521,15.007812108878435,7.569141516195658,2.208480565371025,0.0,75.18772000000001,2698.9025803886925,4175.50735,84,poisson,0.3,379.99360305905594,4,22.96793556213379,cliffserve,1.0
5000,1.0,372.23756679526355,9.314930272192669,13.2561851011521,15.007812108878435,7.569141516195658,2.208480565371025,0.0,75.18772000000001,9.375069787985867,11.642,84,poisson,0.3,379.99360305905594,8,45.93587112426758,dense,1.0
5000,1.0,372.23756679526355,9.314930272192669,13.2561851011521,15.007812108878435,7.569141516195658,2.208480565371025,0.0,75.18772000000001,9.856422703180211,12.283,84,poisson,0.3,379.99360305905594,8,45.93587112426758,static_pomt,1.0
5000,1.0,372.23756679526355,9.314930272192669,13.2561851011521,15.007812108878435,7.569141516195658,2.208480565371025,0.0,75.18772000000001,1448.6216537102473,1478.342,84,poisson,0.3,379.99360305905594,8,45.93587112426758,decoupled,1.0
5000,1.0,372.23756679526355,9.314930272192669,13.2561851011521,15.007812108878435,7.569141516195658,2.208480565371025,0.0,75.18772000000001,2707.691252208481,4174.35235,84,poisson,0.3,379.99360305905594,8,45.93587112426758,joint_full,1.0
5000,1.0,372.23756679526355,9.314930272192669,13.2561851011521,15.007812108878435,7.569141516195658,2.208480565371025,0.0,75.18772000000001,2762.389777385159,4179.1475,84,poisson,0.3,379.99360305905594,8,45.93587112426758,cliffserve,1.0
5000,0.001,174.99779627821368,10939.45084793536,20772.93191899673,21643.040442305508,20767.22732233421,1.0004001600640255,0.0,75.10008,16.08504341736695,16.611,84,poisson,0.6,759.9872061181119,2,11.483967781066895,dense,1.0
5000,0.001,174.99779627821368,10939.45084793536,20772.93191899673,21643.040442305508,20767.22732233421,1.0004001600640255,0.0,75.10008,17.257763105242095,17.833,84,poisson,0.6,759.9872061181119,2,11.483967781066895,static_pomt,1.0
5000,0.001,174.99779627821368,10939.45084793536,20772.93191899673,21643.040442305508,20767.22732233421,1.0004001600640255,0.0,75.10008,1399.0213407362946,1478.59365,84,poisson,0.6,759.9872061181119,2,11.483967781066895,decoupled,1.0
5000,0.001,174.99779627821368,10939.45084793536,20772.93191899673,21643.040442305508,20767.22732233421,1.0004001600640255,0.0,75.10008,6939.369333533413,7010.3415,84,poisson,0.6,759.9872061181119,2,11.483967781066895,joint_full,1.0
5000,0.001,174.99779627821368,10939.45084793536,20772.93191899673,21643.040442305508,20767.22732233421,1.0004001600640255,0.0,75.10008,6925.066637855142,6999.986599999999,84,poisson,0.6,759.9872061181119,2,11.483967781066895,cliffserve,1.0
5000,1.0,743.2897485385271,10.665187650981295,15.078062812523308,16.43489760516072,8.563760647874323,4.440497335701599,0.0,75.19960000000002,11.637236234458259,14.06375,84,poisson,0.6,759.9872061181119,4,22.96793556213379,dense,1.0
5000,1.0,743.2897485385271,10.665187650981295,15.078062812523308,16.43489760516072,8.563760647874323,4.440497335701599,0.0,75.19960000000002,12.261221136767317,14.728,84,poisson,0.6,759.9872061181119,4,22.96793556213379,static_pomt,1.0
