epsilon_pp,batch_size,best_r,best_content_tokens,accuracy_pct,dense_accuracy_pct,accuracy_drop_pp,dense_p95_ms,best_p95_ms,speedup_vs_dense,throughput_gain_pct
0.5,1,0,196,71.2,71.2,0.0,5.6991023302078245,5.6991023302078245,1.0,0.0
0.5,2,0,196,71.19,71.19,0.0,7.008545565605163,7.008545565605163,1.0,0.0
0.5,4,0,196,71.19,71.19,0.0,11.623329401016235,11.623329401016235,1.0,0.0
0.5,8,0,196,71.19,71.19,0.0,21.687922286987305,21.687922286987305,1.0,0.0
0.5,16,0,196,71.19,71.19,0.0,42.947314453125,42.947314453125,1.0,0.0
0.5,24,0,196,71.19,71.19,0.0,60.29963760375976,60.29963760375976,1.0,0.0
0.5,32,0,196,71.19,71.19,0.0,77.27561988830567,77.27561988830567,1.0,0.0
0.5,48,0,196,71.19,71.19,0.0,115.58706512451172,115.58706512451172,1.0,0.0
0.5,64,0,196,71.19,71.19,0.0,146.9359031677246,146.9359031677246,1.0,0.0
1.0,1,0,196,71.2,71.2,0.0,5.6991023302078245,5.6991023302078245,1.0,0.0
1.0,2,0,196,71.19,71.19,0.0,7.008545565605163,7.008545565605163,1.0,0.0
1.0,4,0,196,71.19,71.19,0.0,11.623329401016235,11.623329401016235,1.0,0.0
1.0,8,48,148,70.3,71.19,0.8900000000000006,21.687922286987305,21.23759765625,1.0212041228968654,2.120412289686535
1.0,16,48,148,70.31,71.19,0.8799999999999955,42.947314453125,39.87220821380616,1.0771240514904328,7.712405149043278
1.0,24,48,148,70.3,71.19,0.8900000000000006,60.29963760375976,56.09520359039307,1.0749517560194175,7.49517560194175
1.0,32,48,148,70.31,71.19,0.8799999999999955,77.27561988830567,72.67004013061523,1.06337659576646,6.337659576646004
1.0,48,48,148,70.31,71.19,0.8799999999999955,115.58706512451172,105.992342376709,1.090522791860774,9.052279186077406
1.0,64,48,148,70.32,71.19,0.8700000000000045,146.9359031677246,137.98399047851564,1.064876458915013,6.4876458915013036
2.0,1,0,196,71.2,71.2,0.0,5.6991023302078245,5.6991023302078245,1.0,0.0
2.0,2,0,196,71.19,71.19,0.0,7.008545565605163,7.008545565605163,1.0,0.0
2.0,4,80,116,69.22,71.19,1.9699999999999989,11.623329401016235,11.175827169418335,1.0400419785322423,4.004197853224234
2.0,8,80,116,69.22,71.19,1.9699999999999989,21.687922286987305,17.708112144470213,1.2247450270276203,22.474502702762035
2.0,16,80,116,69.19,71.19,2.0,42.947314453125,32.67510356903076,1.3143742409995045,31.43742409995045
2.0,24,80,116,69.23,71.19,1.9599999999999935,60.29963760375976,46.35766181945801,1.3007480368315254,30.07480368315254
2.0,32,80,116,69.21,71.19,1.980000000000004,77.27561988830567,61.56682415008545,1.2551503338864103,25.51503338864103
2.0,48,80,116,69.23,71.19,1.9599999999999935,115.58706512451172,89.09906120300293,1.2972871269783486,29.728712697834858
2.0,64,80,116,69.23,71.19,1.9599999999999935,146.9359031677246,115.03918838500977,1.2772682529362416,27.72682529362416
