epsilon_pp,batch_size,best_r,best_content_tokens,accuracy_pct,dense_accuracy_pct,accuracy_drop_pp,dense_p95_ms,best_p95_ms,speedup_vs_dense,throughput_gain_pct
0.5,1,0,196,71.2,71.2,0.0,5.6991023302078245,5.6991023302078245,1.0,0.0
0.5,2,0,196,71.19,71.19,0.0,7.008545565605163,7.008545565605163,1.0,0.0
0.5,4,0,196,71.19,71.19,0.0,11.623329401016235,11.623329401016235,1.0,0.0
0.5,8,0,196,71.19,71.19,0.0,21.687922286987305,21.687922286987305,1.0,0.0
0.5,16,0,196,71.19,71.19,0.0,42.947314453125,42.947314453125,1.0,0.0
0.5,24,0,196,71.19,71.19,0.0,60.29963760375976,60.29963760375976,1.0,0.0
0.5,32,0,196,71.19,71.19,0.0,77.27561988830567,77.27561988830567,1.0,0.0
0.5,48,0,196,71.19,71.19,0.0,115.58706512451172,115.58706512451172,1.0,0.0
0.5,64,0,196,71.19,71.19,0.0,146.9359031677246,146.9359031677246,1.0,0.0
